@relation quotepairs
@attribute unigram_lex_quote_prob real
@attribute unigram_lex_antiquote_prob real
@attribute unigram_lex_diff real
@attribute unigram_lex_quote1_more_likely integer
@attribute bigram_lex_quote_prob real
@attribute bigram_lex_antiquote_prob real
@attribute bigram_lex_diff real
@attribute bigram_lex_quote1_more_likely integer
@attribute trigram_lex_quote_prob real
@attribute trigram_lex_antiquote_prob real
@attribute trigram_lex_diff real
@attribute trigram_lex_quote1_more_likely integer
@attribute unigram_syn_quote_prob real
@attribute unigram_syn_antiquote_prob real
@attribute unigram_syn_diff real
@attribute unigram_syn_quote1_more_likely integer
@attribute bigram_syn_quote_prob real
@attribute bigram_syn_antiquote_prob real
@attribute bigram_syn_diff real
@attribute bigram_syn_quote1_more_likely integer
@attribute trigram_syn_quote_prob real
@attribute trigram_syn_antiquote_prob real
@attribute trigram_syn_diff real
@attribute trigram_syn_quote1_more_likely integer
@data
1.8296329452847433e-45,1.5021228262032409e-46,1.6794206626644191e-45,1,8.0262044593549862e-44,1.4028366296115e-40,-1.4020340091655644e-40,0,5.7970553099478028e-34,2.1034757352049135e-35,5.5867077364273119e-34,1,2.0661837476380362e-20,4.2838484928944098e-20,-2.2176647452563737e-20,0,2.938741850417853e-13,3.1756229194989992e-15,2.9069856212228632e-13,1,1.6620352747414513e-10,1.2703307165536554e-13,1.6607649440248976e-10,1
2.1631184711383805e-33,7.1351698768421695e-29,-7.1349535649950561e-29,0,5.2890110670979239e-36,3.4182985615176555e-23,-3.4182985615171266e-23,0,3.8448535090387578e-26,3.0745694661771801e-18,-3.074569427728645e-18,0,6.9987687094379746e-15,2.6933589727282975e-17,6.9718351197106918e-15,1,1.3875030854869595e-11,1.9398950702524204e-10,-1.8011447617037244e-10,0,3.5840609665096511e-08,8.9041229609507647e-09,2.6936486704145748e-08,1
2.2269219559498891e-31,1.3659747639361048e-31,8.6094719201378437e-32,1,2.4351146251343546e-30,1.1044235626180557e-31,2.3246722688725491e-30,1,2.7431316392623973e-20,8.6221570521855335e-27,2.7431307770466922e-20,1,1.1988152417559907e-13,1.8382695249991345e-15,1.1804325465059995e-13,1,3.2917895230130117e-08,1.2110178978430704e-12,3.2916684212232272e-08,1,9.4231909579806513e-08,1.0201218512337682e-09,9.3211787728572739e-08,1
1.2895596129655879e-36,2.8361319306481289e-65,1.2895596129655879e-36,1,5.2387719267163066e-33,1.3428124088576407e-68,5.2387719267163066e-33,1,6.5498453645761472e-22,2.3000198772564547e-58,6.5498453645761472e-22,1,1.4255415553820379e-19,6.8504326687995619e-21,1.3570372286940422e-19,1,1.3155729908846788e-14,7.3803689687081013e-20,1.3155656105157101e-14,1,3.9359833599371376e-11,9.8085114428370877e-19,3.9359832618520232e-11,1
6.3476768427098736e-21,6.1837665762111989e-20,-5.5489988919402116e-20,0,6.2538595180988032e-21,3.7005466724301509e-17,-3.6999212864783412e-17,0,2.1802230816082865e-17,8.638965283569534e-10,-8.6389650655472259e-10,0,4.371351573591083e-09,2.6377598036250331e-09,1.7335917699660499e-09,1,9.0504111011398052e-08,0.00010734659959560532,-0.00010725609548459392,0,5.3086619464269769e-06,0.0010386484852429327,-0.0010333398232965057,0
2.8437598401989089e-67,9.481444485641296e-69,2.7489453953424959e-67,1,3.1866357893511345e-62,3.2440404749682905e-64,3.1541953846014515e-62,1,1.4667306186655118e-47,2.9655953446927113e-50,1.4637650233208191e-47,1,5.4601736125041519e-33,4.2628365164267593e-37,5.4597473288525093e-33,1,4.9342821840364874e-23,1.9481645449515866e-32,4.9342821820883229e-23,1,2.9547875155367249e-19,4.9347033601678621e-27,2.9547874661896913e-19,1
2.2491121120700395e-26,7.2250380643115299e-24,-7.2025469431908293e-24,0,1.4729783388421424e-28,1.8277399523748841e-18,-1.8277399522275862e-18,0,1.5428101058709152e-17,2.3582612390556971e-14,-2.3567184289498261e-14,0,1.0895664656355507e-11,7.1394368517688091e-13,1.0181720971178626e-11,1,2.6060506146611069e-08,5.4217432638233258e-08,-2.8156926491622189e-08,0,3.4117402609241992e-05,1.0558629473023906e-06,3.3061539661939601e-05,1
4.3132702246088349e-30,1.557173900901563e-36,4.3132686674349342e-30,1,3.1383987822651222e-33,1.4471353873963733e-34,2.9936852435254849e-33,1,5.549582644962222e-24,2.7346157191305742e-28,5.5493091833903089e-24,1,4.6714176990470913e-17,7.6006163518278861e-21,4.6706576374119084e-17,1,8.3387651323722741e-14,1.4198876705389236e-15,8.1967763653183818e-14,1,2.7506081194217546e-11,1.6043547792141092e-11,1.1462533402076453e-11,1
5.3371683179482114e-43,4.5322916985544115e-39,-4.5317579817226165e-39,0,9.0406080766044714e-40,4.4009387475638975e-36,-4.4000346867562369e-36,0,2.7219652784953286e-28,4.5523319896553122e-30,2.6764419585987755e-28,1,6.358680904766581e-21,5.1527204720324777e-20,-4.5168523815558198e-20,0,2.3705644800693833e-18,6.809213414315523e-14,-6.8089763578675166e-14,0,3.8897927689811761e-10,3.7458251465149149e-10,1.4396762246626124e-11,1
6.6086540861451499e-55,1.3350073579510969e-53,-1.2689208170896453e-53,0,9.6167880169366238e-62,8.3745420632826757e-57,-8.3744458954025058e-57,0,1.1817136943610718e-49,1.0867608015637677e-43,-1.0867596198500734e-43,0,2.8727974762800544e-24,1.263266145346592e-23,-9.7598639771858656e-24,0,5.3674941000381125e-21,4.5000924994842838e-17,-4.4995557500742801e-17,0,9.2137519166807267e-18,9.7379576711518196e-16,-9.6458201519850129e-16,0
