@relation quotepairs
@attribute unigram_lex_quote_prob real
@attribute unigram_lex_antiquote_prob real
@attribute unigram_lex_diff real
@attribute unigram_lex_quote1_more_likely integer
@attribute bigram_lex_quote_prob real
@attribute bigram_lex_antiquote_prob real
@attribute bigram_lex_diff real
@attribute bigram_lex_quote1_more_likely integer
@attribute trigram_lex_quote_prob real
@attribute trigram_lex_antiquote_prob real
@attribute trigram_lex_diff real
@attribute trigram_lex_quote1_more_likely integer
@attribute unigram_syn_quote_prob real
@attribute unigram_syn_antiquote_prob real
@attribute unigram_syn_diff real
@attribute unigram_syn_quote1_more_likely integer
@attribute bigram_syn_quote_prob real
@attribute bigram_syn_antiquote_prob real
@attribute bigram_syn_diff real
@attribute bigram_syn_quote1_more_likely integer
@attribute trigram_syn_quote_prob real
@attribute trigram_syn_antiquote_prob real
@attribute trigram_syn_diff real
@attribute trigram_syn_quote1_more_likely integer
@data
1.2988745536185693e-41,2.5304504183502574e-40,-2.4005629629884004e-40,0,1.5660422478232572e-42,1.6889813713384046e-40,-1.6733209488601719e-40,0,2.8022387912337578e-32,2.4359436851672141e-34,2.7778793543820856e-32,1,2.0409819887397381e-22,1.556085984378465e-22,4.8489600436127301e-23,1,7.100717462836888e-19,5.3343771755970712e-20,6.567279745277181e-19,1,5.8140231279078763e-14,1.5960399231486216e-15,5.6544191355930141e-14,1
3.2865230368692209e-28,6.8250556325234458e-25,-6.8217691094865769e-25,0,2.408275611675254e-30,3.5890989684190797e-24,-3.5890965601434683e-24,0,6.2329761848895705e-22,1.4852136717632499e-18,-1.484590374144761e-18,0,6.6714407820864562e-17,2.3751084476862171e-18,6.4339299373178339e-17,1,1.4006755651329497e-16,8.600503161022263e-15,-8.4604356045089679e-15,0,1.3212783350222863e-11,8.4398003577359109e-12,4.7729829924869526e-12,1
6.3436324673485502e-29,1.365526300777909e-29,4.9781061665706412e-29,1,5.8415210809715563e-29,1.3122300185918722e-28,-7.280779104947166e-29,0,1.4951231008990605e-20,1.2064816674726225e-25,1.4951110360823859e-20,1,1.3313961360085991e-18,5.0007454249425476e-22,1.3308960614661048e-18,1,6.3330284406643035e-20,3.5122489126546313e-23,6.329516191751649e-20,1,6.8469001722593466e-15,3.3887474926803575e-18,6.8435114247666664e-15,1
3.8613407864005e-33,3.4382995738386596e-67,3.8613407864005e-33,1,1.3230314120447591e-34,2.5367595935836339e-64,1.3230314120447591e-34,1,1.9509015092233759e-25,5.0084880442686321e-61,1.9509015092233759e-25,1,4.5014269765387186e-20,1.2294379162948458e-37,4.5014269765387186e-20,1,1.0161528186720942e-18,1.8552038730483309e-49,1.0161528186720942e-18,1,6.6523101116295156e-14,1.9661784531107131e-37,6.6523101116295156e-14,1
6.6889371132138929e-19,2.3162696266311734e-16,-2.3095806895179596e-16,0,1.423222966560582e-17,5.519385139181119e-16,-5.3770628425250607e-16,0,2.0924066194949833e-15,4.9609458257272061e-09,-4.960943733320587e-09,0,1.8360876499831583e-12,3.1624335322586253e-12,-1.326345882275467e-12,0,1.1269931745437582e-13,6.7398358789326813e-12,-6.6271365614783051e-12,0,3.6813414910372998e-10,1.4727803050376043e-08,-1.4359668901272314e-08,0
9.7428881231236812e-57,7.2423436485279065e-67,9.7428881223994464e-57,1,4.7808249319200977e-55,1.8057495827192047e-71,4.7808249319200977e-55,1,3.8753580910984339e-46,1.5663607760180877e-57,3.8753580910827706e-46,1,3.1425778181846717e-35,1.3228513749271647e-39,3.1424455330471792e-35,1,3.6594711075131456e-33,7.2282412557413786e-42,3.6594711002849047e-33,1,1.1588060292018703e-24,2.1102596744031984e-30,1.1588039189421959e-24,1
1.1881795532337833e-23,9.6903098129166242e-22,-9.5714918575932465e-22,0,3.1383519484031014e-26,2.1502174096680783e-22,-2.149903574473238e-22,0,1.2194942789706936e-16,3.0434220183609036e-14,-3.0312270755711967e-14,0,9.3996461730056345e-15,2.6018117314341184e-15,6.7978344415715161e-15,1,1.3874120220454846e-14,2.756069911748865e-14,-1.3686578897033804e-14,0,1.05818169830245e-11,3.0171407352964031e-11,-1.9589590369939529e-11,0
1.8296689665638413e-26,1.2831674013428611e-40,1.8296689665638284e-26,1,1.9716341898826099e-31,1.7871319796860295e-42,1.9716341898647385e-31,1,1.5484662216485297e-20,3.9180320174719277e-32,1.5484662216446116e-20,1,4.3430846928640656e-20,8.8349144612069945e-29,4.3430846840291508e-20,1,1.7081997938723995e-18,2.8789340312930494e-31,1.7081997938721116e-18,1,2.008011538786661e-12,1.2270852807178278e-22,2.0080115386639523e-12,1
3.8239527752674059e-40,1.5941739936414265e-32,-1.5941739554018987e-32,0,1.2306533870185063e-43,4.6196279607272469e-35,-4.6196279484207129e-35,0,2.0233439023482839e-33,1.4135723140537774e-26,-1.4135721117193872e-26,0,9.6516700967633602e-25,1.1023964716268048e-20,-1.1022999549258371e-20,0,9.3870650279993465e-25,3.4084121927203767e-20,-3.408318322070097e-20,0,2.9913212029865101e-18,1.2359973625202821e-15,-1.2330060413172956e-15,0
3.4339610735640618e-49,1.1709238442369443e-41,-1.1709238098973335e-41,0,2.0707630650984767e-51,1.8678195175563744e-45,-1.8678174467933093e-45,0,1.1115108119852875e-44,5.911146816051886e-34,-5.9111468159407349e-34,0,2.9895809565143276e-25,7.2624119340638005e-24,-6.9634538384123673e-24,0,3.8106555733343041e-25,6.1581477721636372e-22,-6.1543371165903027e-22,0,9.5091761887552273e-18,4.6556785145333772e-17,-3.7047608956578541e-17,0
4.0256000922086501e-23,3.29770731609692e-14,-3.2977073120713198e-14,0,1.1723889335208993e-19,2.1001730346410288e-12,-2.1001729174021356e-12,0,2.0486324224344195e-15,1.0162640383564801e-07,-1.0162640178701559e-07,0,7.1345978358035655e-16,3.2580337167211739e-12,-3.2573202569375935e-12,0,2.815555936679844e-18,1.6788117855369891e-12,-1.6788089699810526e-12,0,6.7893887887701809e-14,3.1363987795772209e-09,-3.1363308856893332e-09,0
5.9147328604227115e-18,2.3489619355633041e-11,-2.3489613440900182e-11,0,2.6099505556319822e-16,1.789890147480952e-11,-1.7898640479753958e-11,0,1.6418259363280768e-10,1.5325504814170256e-05,-1.5325340631576622e-05,0,3.9248509577418924e-13,4.1019994835142198e-10,-4.0980746325564781e-10,0,7.3248381316225677e-17,2.0228819578387507e-11,-2.0228746330006191e-11,0,1.4028581239034106e-12,9.0188196964787897e-09,-9.0174168383548871e-09,0
4.895146849558829e-38,7.3764684847511408e-31,-7.3764679952364556e-31,0,1.465516455842063e-35,3.273414239729943e-30,-3.2733995845653848e-30,0,2.0625577248053467e-29,4.1664889478553535e-22,-4.1664887415995812e-22,0,2.0906191250577383e-22,9.1999972004993974e-19,-9.1979065813743397e-19,0,1.2925015498777082e-24,1.4700466989316888e-19,-1.4700337739161899e-19,0,2.6459359797556182e-19,2.9831487788941928e-13,-2.9831461329582131e-13,0
9.9260738051018399e-32,3.0123766841347351e-37,9.9260436813349994e-32,1,1.3383349820243027e-30,1.3772441177019981e-36,1.338333604780185e-30,1,3.0308340856756883e-23,7.075393331541068e-30,3.030833378136355e-23,1,8.3635884543812909e-17,6.5879473493204118e-22,8.3635225749077983e-17,1,3.9161176717125675e-19,1.2810469169773585e-23,3.9159895670208699e-19,1,8.8443723328612611e-14,6.0504601379187443e-18,8.8437672868474694e-14,1
9.2940934337983708e-26,1.2136270908200741e-33,9.2940933124356619e-26,1,2.1572562511003572e-27,4.8359330232128795e-37,2.1572562506167641e-27,1,8.2440534226539516e-20,9.0382857639735314e-27,8.2440525188253757e-20,1,1.2490675476024626e-14,6.1259709169984765e-26,1.2490675475963366e-14,1,3.9538568915129863e-14,4.3625855132339485e-26,3.9538568915086236e-14,1,8.8255236213401978e-12,4.3352271235238493e-18,8.8255192861130739e-12,1
5.051279027323409e-33,1.0981500879902381e-21,-1.0981500879851869e-21,0,1.0430038020691791e-34,4.7570981781579678e-25,-4.7570981771149636e-25,0,1.8917514435207887e-25,1.0912285416885406e-16,-1.0912285397967891e-16,0,7.448084781257754e-25,1.6033335094086382e-16,-1.6033335019605535e-16,0,1.8136990536776119e-30,7.9156844136848489e-19,-7.9156844136667115e-19,0,2.2514151531269122e-21,9.4408425693899184e-12,-9.440842567138504e-12,0
1.2171189359495045e-45,2.1813687953104427e-44,-2.0596569017154922e-44,0,1.3073085631660739e-47,2.5875987240742246e-48,1.0485486907586515e-47,1,3.3632209834861754e-39,7.0003267885887969e-36,-6.996963567605311e-36,0,1.2193681932310415e-21,1.3307408183320283e-30,1.2193681919003006e-21,1,6.6610876953205542e-26,2.2913842233520889e-36,6.6610876950914155e-26,1,1.0066563889880649e-16,1.0847026654439226e-25,1.0066563879033622e-16,1
9.6588874478786025e-24,7.5006375458653512e-35,9.6588874478035957e-24,1,3.720359723573263e-25,5.7955223520076671e-33,3.7203596656180395e-25,1,7.3599003789986404e-18,4.8810615848018727e-26,7.3599003301880245e-18,1,3.8459626181034098e-15,2.8627555049317962e-17,3.8173350630540915e-15,1,8.6713709491031793e-17,5.4593270791994374e-19,8.6167776783111851e-17,1,6.536145171706247e-13,5.7423888817877295e-14,5.9619062835274737e-13,1
